d_A,R_A,ratio_multipole_to_point
0.0,7.313131313131313,1.0
0.0,7.383838383838384,1.0
0.0,7.454545454545454,1.0
0.0,7.525252525252525,1.0
0.0,7.595959595959596,1.0
0.0,7.666666666666666,1.0
0.0,7.737373737373737,1.0
0.0,7.808080808080808,1.0
0.0,7.878787878787879,1.0
0.0,7.949494949494949,1.0
0.0,8.02020202020202,1.0
0.0,8.09090909090909,1.0
0.0,8.161616161616163,1.0
0.0,8.232323232323232,1.0
0.0,8.303030303030303,1.0
0.0,8.373737373737374,1.0
0.0,8.444444444444445,1.0
0.0,8.515151515151516,1.0
0.0,8.585858585858585,1.0
0.0,8.656565656565657,1.0
0.0,8.727272727272727,1.0
0.0,8.797979797979798,1.0
0.0,8.868686868686869,1.0
0.0,8.93939393939394,1.0
0.0,9.01010101010101,1.0
0.0,9.08080808080808,1.0
0.0,9.151515151515152,1.0
0.0,9.222222222222221,1.0
0.0,9.292929292929292,1.0
0.0,9.363636363636363,1.0
0.0,9.434343434343434,1.0
0.0,9.505050505050505,1.0
0.0,9.575757575757574,1.0
0.0,9.646464646464647,1.0
0.0,9.717171717171716,1.0
0.0,9.787878787878787,1.0
0.0,9.858585858585858,1.0
0.0,9.929292929292929,1.0
0.0,10.0,1.0
0.5,3.0,0.9896730288776736
0.5,3.0707070707070705,0.990139270238427
0.5,3.1414141414141414,0.9905747150777241
0.5,3.212121212121212,0.9909820104811367
0.5,3.282828282828283,0.9913635257940486
0.5,3.3535353535353534,0.9917213867902509
0.5,3.4242424242424243,0.9920575050462248
0.5,3.494949494949495,0.992373603273074
0.5,3.5656565656565657,0.9926712372282326
0.5,3.6363636363636362,0.992951814723618
0.5,3.707070707070707,0.9932166121609096
0.5,3.7777777777777777,0.993466788954199
0.5,3.8484848484848486,0.9937034001424062
0.5,3.919191919191919,0.9939274074460821
0.5,3.9898989898989896,0.9941396889837169
0.5,4.0606060606060606,0.9943410478298113
0.5,4.1313131313131315,0.9945322195696186
0.5,4.202020202020202,0.9947138789825632
0.5,4.2727272727272725,0.9948866459671588
0.5,4.343434343434343,0.9950510908040923
0.5,4.414141414141414,0.9952077388405223
0.5,4.484848484848484,0.9953570746671113
0.5,4.555555555555555,0.9954995458495337
0.5,4.626262626262626,0.995635566267885
0.5,4.696969696969697,0.995765519110324
0.5,4.767676767676767,0.9958897595612223
0.5,4.838383838383838,0.9960086172188928
0.5,4.909090909090909,0.9961223982735151
0.5,4.979797979797979,0.996231387472029
0.5,5.05050505050505,0.99633584989346
0.5,5.121212121212121,0.9964360325552725
0.5,5.191919191919192,0.9965321658688606
0.5,5.262626262626263,0.9966244649601514
0.5,5.333333333333333,0.9967131308693925
0.5,5.404040404040404,0.9967983516425912
0.5,5.474747474747474,0.9968803033256336
0.5,5.545454545454545,0.996959150870862
0.5,5.616161616161616,0.9970350489648134
0.5,5.686868686868687,0.9971081427848442
0.5,5.757575757575758,0.9971785686915343
0.5,5.828282828282829,0.997246454863027
0.5,5.898989898989899,0.9973119218767892
0.5,5.96969696969697,0.9973750832437223
0.5,6.04040404040404,0.997436045899018
0.5,6.111111111111111,0.9974949106537218
0.5,6.181818181818182,0.9975517726105525
0.5,6.252525252525253,0.9976067215471741
0.5,6.3232323232323235,0.9976598422697952
0.5,6.393939393939394,0.9977112149396938
0.5,6.4646464646464645,0.9977609153750077
0.5,6.535353535353535,0.997809015329909
0.5,6.6060606060606055,0.997855582753075
0.5,6.6767676767676765,0.9979006820271962
0.5,6.747474747474747,0.997944374191087
0.5,6.818181818181818,0.997986717145834
0.5,6.888888888888889,0.9980277658462746
0.5,6.959595959595959,0.9980675724789885
0.5,7.03030303030303,0.9981061866278765
0.5,7.101010101010101,0.9981436554283029
0.5,7.171717171717171,0.9981800237106988
0.5,7.242424242424242,0.9982153341344392
0.5,7.313131313131313,0.9982496273127386
0.5,7.383838383838384,0.9982829419292498
0.5,7.454545454545454,0.9983153148469843
0.5,7.525252525252525,0.9983467812101344
0.5,7.595959595959596,0.9983773745393112
0.5,7.666666666666666,0.9984071268206886
0.5,7.737373737373737,0.9984360685894907
0.5,7.808080808080808,0.9984642290082272
0.5,7.878787878787879,0.9984916359400569
0.5,7.949494949494949,0.9985183160176154
0.5,8.02020202020202,0.9985442947076321
0.5,8.09090909090909,0.9985695963716201
0.5,8.161616161616163,0.998594244322918
0.5,8.232323232323232,0.9986182608803248
0.5,8.303030303030303,0.9986416674185613
0.5,8.373737373737374,0.9986644844157725
0.5,8.444444444444445,0.9986867314982629
0.5,8.515151515151516,0.9987084274826539
0.5,8.585858585858585,0.9987295904156234
0.5,8.656565656565657,0.9987502376113931
0.5,8.727272727272727,0.9987703856871014
0.5,8.797979797979798,0.9987900505962024
0.5,8.868686868686869,0.9988092476600106
0.5,8.93939393939394,0.9988279915975131
0.5,9.01010101010101,0.9988462965535551
0.5,9.08080808080808,0.9988641761254945
0.5,9.151515151515152,0.9988816433884316
0.5,9.222222222222221,0.9988987109190869
0.5,9.292929292929292,0.9989153908184177
0.5,9.363636363636363,0.9989316947330489
0.5,9.434343434343434,0.9989476338755804
0.5,9.505050505050505,0.9989632190438504
0.5,9.575757575757574,0.9989784606392036
0.5,9.646464646464647,0.9989933686838314
0.5,9.717171717171716,0.9990079528372312
0.5,9.787878787878787,0.9990222224118406
0.5,9.858585858585858,0.999036186387889
0.5,9.929292929292929,0.9990498534275164
0.5,10.0,0.9990632318881926
1.0,3.0,0.9597346285934373
1.0,3.0707070707070705,0.9615085501053484
1.0,3.1414141414141414,0.9631689776448431
1.0,3.212121212121212,0.9647252913519381
1.0,3.282828282828283,0.9661859319779276
1.0,3.3535353535353534,0.9675585103556714
1.0,3.4242424242424243,0.9688499024361303
1.0,3.494949494949495,0.970066332000191
1.0,3.5656565656565657,0.9712134428187801
1.0,3.6363636363636362,0.9722963617558494
1.0,3.707070707070707,0.9733197540774905
1.0,3.7777777777777777,0.9742878720377423
1.0,3.8484848484848486,0.9752045976506869
1.0,3.919191919191919,0.9760734804236253
1.0,3.9898989898989896,0.976897770712922
1.0,4.0606060606060606,0.9776804492688153
1.0,4.1313131313131315,0.9784242534550641
1.0,4.202020202020202,0.9791317005612599
1.0,4.2727272727272725,0.9798051085679265
1.0,4.343434343434343,0.9804466146754747
1.0,4.414141414141414,0.9810581918662804
1.0,4.484848484848484,0.9816416637334656
1.0,4.555555555555555,0.9821987177794024
1.0,4.626262626262626,0.9827309173607681
1.0,4.696969696969697,0.9832397124344459
1.0,4.767676767676767,0.983726449239174
1.0,4.838383838383838,0.9841923790311017
1.0,4.909090909090909,0.9846386659769294
1.0,4.979797979797979,0.9850663942957688
1.0,5.05050505050505,0.9854765747299717
1.0,5.121212121212121,0.9858701504156988
1.0,5.191919191919192,0.9862480022157598
1.0,5.262626262626263,0.9866109535700474
1.0,5.333333333333333,0.9869597749125956
1.0,5.404040404040404,0.9872951876987837
1.0,5.474747474747474,0.9876178680813672
1.0,5.545454545454545,0.987928450269766
1.0,5.616161616161616,0.9882275296033164
1.0,5.686868686868687,0.9885156653658791
1.0,5.757575757575758,0.9887933833663042
1.0,5.828282828282829,0.9890611783066745
1.0,5.898989898989899,0.989319515957979
