R_A,alpha_kcal_per_e_epsilon_2,alpha_kcal_per_e_epsilon_4,alpha_kcal_per_e_epsilon_10
8.656565656565657,1.1078201015318965,0.5539100507659482,0.22156402030637928
8.727272727272727,1.0899420301649307,0.5449710150824654,0.21798840603298614
8.797979797979798,1.072493268555219,0.5362466342776095,0.21449865371104382
8.868686868686869,1.0554601804551658,0.5277300902275829,0.21109203609103314
8.93939393939394,1.0388296667624246,0.5194148333812123,0.20776593335248492
9.01010101010101,1.022589140328078,0.511294570164039,0.2045178280656156
9.08080808080808,1.0067265021325145,0.5033632510662572,0.20134530042650287
9.151515151515152,0.9912301187447917,0.49561505937239586,0.19824602374895836
9.222222222222221,0.9760888009870811,0.48804440049354053,0.1952177601974162
9.292929292929292,0.9612917837310964,0.4806458918655482,0.19225835674621927
9.363636363636363,0.9468287067584127,0.47341435337920634,0.18936574135168255
9.434343434343434,0.9326895966211042,0.4663447983105521,0.18653791932422084
9.505050505050505,0.9188648494434098,0.4594324247217049,0.18377296988868197
9.575757575757574,0.9053452146090372,0.4526726073045186,0.18106904292180745
9.646464646464647,0.892121779282366,0.446060889641183,0.1784243558564732
9.717171717171716,0.8791859537151898,0.4395929768575949,0.17583719074303797
9.787878787878787,0.8665294572937535,0.43326472864687676,0.17330589145875072
9.858585858585858,0.8541443052837779,0.42707215264188897,0.1708288610567556
9.929292929292929,0.842022796233839,0.4210113981169195,0.1684045592467678
10.0,0.8301575,0.41507875,0.1660315
