R_Ang,ratio_d_0.0_Ang,ratio_d_1.0_Ang,ratio_d_2.0_Ang
6.201005025125628,1.0,0.9903263582544423,0.9622215135950348
6.236180904522612,1.0,0.9904343125997948,0.962633209638911
6.2713567839195985,1.0,0.990540474628713,0.9630382838642723
6.306532663316583,1.0,0.9906448836946238,0.9634368759719537
6.341708542713568,1.0,0.9907475780796026,0.9638291220400367
6.376884422110553,1.0,0.9908485950290906,0.9642151546346377
6.4120603015075375,1.0,0.9909479707853107,0.9645951029168172
6.447236180904523,1.0,0.9910457406194347,0.9649690927457609
6.482412060301508,1.0,0.99114193886256,0.9653372467783735
6.517587939698492,1.0,0.9912365989355396,0.965699684565435
6.552763819095477,1.0,0.9913297533777188,0.9660565226444411
6.5879396984924625,1.0,0.991421433874619,0.966407874629267
6.623115577889447,1.0,0.9915116712846175,0.9667538512967682
6.658291457286432,1.0,0.9916004956646609,0.9670945606704386
