R_Ang,d_Ang,ratio
6.623115577889447,0.010050251256281407,0.9999991365044059
6.658291457286432,0.010050251256281407,0.9999991456040259
6.693467336683417,0.010050251256281407,0.9999991545605609
6.7286432160804015,0.010050251256281407,0.9999991633769951
6.763819095477387,0.010050251256281407,0.9999991720562353
6.798994974874372,0.010050251256281407,0.9999991806011139
6.834170854271356,0.010050251256281407,0.9999991890143889
6.869346733668342,0.010050251256281407,0.9999991972987499
6.9045226130653266,0.010050251256281407,0.9999992054568165
6.939698492462312,0.010050251256281407,0.999999213491144
6.974874371859297,0.010050251256281407,0.9999992214042206
7.010050251256281,0.010050251256281407,0.9999992291984755
7.045226130653266,0.010050251256281407,0.999999236876275
7.080402010050252,0.010050251256281407,0.9999992444399279
7.115577889447236,0.010050251256281407,0.9999992518916855
7.150753768844221,0.010050251256281407,0.999999259233744
7.185929648241206,0.010050251256281407,0.9999992664682464
7.221105527638191,0.010050251256281407,0.999999273597283
7.256281407035176,0.010050251256281407,0.9999992806228944
7.291457286432161,0.010050251256281407,0.9999992875470711
7.326633165829145,0.010050251256281407,0.999999294371756
7.36180904522613,0.010050251256281407,0.9999993010988475
7.396984924623116,0.010050251256281407,0.9999993077301962
7.432160804020101,0.010050251256281407,0.999999314267611
7.467336683417085,0.010050251256281407,0.9999993207128577
7.50251256281407,0.010050251256281407,0.9999993270676605
7.5376884422110555,0.010050251256281407,0.9999993333337037
7.57286432160804,0.010050251256281407,0.9999993395126331
7.608040201005025,0.010050251256281407,0.9999993456060555
7.64321608040201,0.010050251256281407,0.9999993516155418
7.678391959798995,0.010050251256281407,0.9999993575426263
7.71356783919598,0.010050251256281407,0.9999993633888085
7.748743718592965,0.010050251256281407,0.999999369155555
7.78391959798995,0.010050251256281407,0.999999374844297
7.819095477386934,0.010050251256281407,0.9999993804564363
7.8542713567839195,0.010050251256281407,0.9999993859933416
7.889447236180905,0.010050251256281407,0.9999993914563514
7.924623115577889,0.010050251256281407,0.9999993968467754
7.959798994974874,0.010050251256281407,0.9999994021658932
7.994974874371859,0.010050251256281407,0.9999994074149575
8.030150753768844,0.010050251256281407,0.9999994125951928
8.065326633165828,0.010050251256281407,0.9999994177077969
8.100502512562814,0.010050251256281407,0.9999994227539429
8.1356783919598,0.010050251256281407,0.999999427734777
8.170854271356784,0.010050251256281407,0.9999994326514213
8.206030150753769,0.010050251256281407,0.9999994375049748
8.241206030150753,0.010050251256281407,0.9999994422965115
8.276381909547737,0.010050251256281407,0.9999994470270839
8.311557788944723,0.010050251256281407,0.9999994516977222
8.34673366834171,0.010050251256281407,0.999999456309434
8.381909547738694,0.010050251256281407,0.9999994608632066
8.417085427135678,0.010050251256281407,0.9999994653600065
8.452261306532662,0.010050251256281407,0.9999994698007801
8.487437185929648,0.010050251256281407,0.9999994741864544
8.522613065326633,0.010050251256281407,0.9999994785179375
8.557788944723619,0.010050251256281407,0.9999994827961179
8.592964824120603,0.010050251256281407,0.9999994870218667
8.628140703517587,0.010050251256281407,0.9999994911960379
8.663316582914572,0.010050251256281407,0.9999994953194666
8.698492462311558,0.010050251256281407,0.9999994993929721
8.733668341708544,0.010050251256281407,0.9999995034173575
8.768844221105528,0.010050251256281407,0.9999995073934091
8.804020100502512,0.010050251256281407,0.9999995113218979
8.839195979899497,0.010050251256281407,0.9999995152035793
8.874371859296481,0.010050251256281407,0.9999995190391942
8.909547738693467,0.010050251256281407,0.9999995228294686
8.944723618090453,0.010050251256281407,0.9999995265751144
8.979899497487438,0.010050251256281407,0.9999995302768289
9.015075376884422,0.010050251256281407,0.9999995339352973
9.050251256281406,0.010050251256281407,0.9999995375511901
9.085427135678392,0.010050251256281407,0.9999995411251658
9.120603015075377,0.010050251256281407,0.9999995446578693
9.155778894472363,0.010050251256281407,0.9999995481499339
9.190954773869347,0.010050251256281407,0.9999995516019803
9.226130653266331,0.010050251256281407,0.9999995550146183
9.261306532663315,0.010050251256281407,0.9999995583884448
